Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Jabon liquido p/manos,Hogar,131,2509041305474,Litro,0,0,1500.0,,0,0,0,0,1,,36,,0,0,1,5
Limpiavidrio (liquido) ,Hogar,132,2509041127571,Litro,0,0,1500.0,,0,0,0,0,1,,124.5,,0,0,1,20
Extra,Extras,133,,,0,0,100.0,,0,0,0,0,1,,-89.5,,,,,
Fuenton x 30lts,Hogar,134,7494111001348,Unidad,0,0,6100.0,,0,0,1,0,1,,0,,,,,
Barrendero mediano calle (Escobillon),Escobas,135,7795513058879,Unidad,0,0,4000.0,,0,0,1,0,1,,2,,,,,
Cepillo Planchita gde,Hogar,136,7795513058078|7795513058978,Unidad,0,0,1500.0,,0,0,1,0,1,,1,,,,,
Escoba exterior,Escobas,137,7795513058930|7798143244063,Unidad,0,0,4200.0,,0,0,0,0,1,,4,,,,,
Pala c/cabo Premium,Hogar,138,798092967945,Unidad,0,0,3700.0,,0,0,0,0,0,,0,,,,,
Esponja con fibra MAKE,Cocina,139,7798092968058|7798092964043,Unidad,0,0,600.0,,0,0,0,0,1,,22,,,,,
Esponja MAKE grande,Cocina,140,7798092962285|7798092967280,Unidad,0,0,1000.0,,0,0,0,0,1,,1,,,,,
Pulverizador x 750ml Make,Hogar,141,7798092962216,Unidad,1176.94805194805,69.931,2000.0,,0,0,1,0,1,,9,,,,,
Detergente 15% (verde),Cocina,142,,Litro,0,0,600.0,,0,0,0,0,0,,0,,,,,
Detergente 20% (Verde),Cocina,143,2508081755133,Litro,0,0,1000.0,,0,0,0,0,1,,-311.8,,,,,
Perfumina,Hogar,144,2509041921117,Litro,0,0,3500.0,,0,0,0,0,1,,1,,,,,
Combo 3 (Deter 20% + Lavand + Des. Piso),Combo,145,,unidad,0,0,7500.0,,0,0,1,0,1,,34,,,,,
Escurridor platos,Cocina,146,,Unidad,0,0,3500.0,,0,0,1,0,1,,0,,,,,
Cloro liquido (pileta),Pileta,147,2509032011575,Litro,0,0,600.0,,0,0,0,0,1,,135,,,,,
Bidon,Extras,148,,Unidad,0,0,500.0,,0,0,0,0,1,,858,,,,,
Lavandina Ropa Color,Hogar,149,2509041920431,Litro,0,0,1500.0,,0,0,0,0,1,,13,,,,,
Lavandina Ropa Blanca,Hogar,150,2509041920394,Litro,0,0,1500.0,,0,0,0,0,1,,107,,,,,
Lavandina en Gel,Hogar,151,2509041920462,Litro,0,0,1500.0,,0,0,0,0,1,,27,,,,,
Saphirus Home Spray 500 ml,Hogar,152,,Unidad,0,0,5200.0,,0,0,0,0,0,,0,,,,,
Saphirus Textil 250 ml,Hogar,153,7798184680912|7798184680189|7798184680905|7798184681261|7798184681490|7798184680868|7798184680066|7798184680011|7798184680080|7798184684255|7798184683838|7798184684927,Unidad,0,0,4000.0,,0,0,1,0,1,,11,,,,,
Saphirus Difusor,Hogar,154,7798184680691|7798184680738|7798184681032|7798184681346|7798184680790|7798184682374,Unidad,0,0,5500.0,,0,0,1,0,1,,4,,,,,
Saphirus mini 60ml,Hogar,155,,Unidad,0,0,2400.0,,0,0,0,0,0,,0,,,,,
Sahumerio x 15 un,Hogar,156,8906058697297|8906058697198|8906037224193|8906037224926|8906037222076,Unidad,0,0,1300.0,,0,0,0,0,1,,1,,,,,
H2O Plus Pileta,Pileta,157,,Unidad,0,0,5400.0,,0,0,0,0,1,,0,,,,,
Citronela para ambiente concentrado,Hogar,158,,Unidad,0,0,4000.0,,0,0,1,0,1,,5,,,,,
Bicarbonato de sodio x 100gr,Hogar,159,2509041919428,Unidad,0,0,800.0,,0,0,0,0,1,,-47,,,,,
Balde 11 lts,Hogar,160,7793071001818,Unidad,0,0,3100.0,,0,0,0,0,1,,1,,,,,
Fuenton x 20lts,Hogar,161,7794111001300,Unidad,0,0,5000.0,,0,0,0,0,1,,0,,,,,
Plumero de lana,Hogar,162,2509041921162,Unidad,0,0,5000.0,,0,0,0,0,1,,1,,,,,
Cabo madera 150 cm,Hogar,163,,Unidad,0,0,2000.0,,0,0,0,0,1,,5,,,,,
Cepillo p/uña,Hogar,164,7798143244261,Unidad,0,0,1600.0,,0,0,0,0,1,,2,,,,,
Cepillo lava zapatilla,Hogar,165,7798092964944,Unidad,0,0,3600.0,,0,0,0,0,1,,2,,,,,
Limpiavidrio 30cm,Hogar,166,,Unidad,0,0,4700.0,,0,0,0,0,0,,-1,,,,,
Barre Hoja,Hogar,167,,Unidad,0,0,1400.0,,0,0,0,0,0,,0,,,,,
Repelente Citronella x250ml,Hogar,168,,Unidad,0,0,5500.0,,0,0,1,0,1,,5,,,,,
Blem Lustramueble 360 cc,Hogar,169,7790520028877|7790520028747,Unidad,0,0,4000.0,,0,0,0,0,1,,7,,,,,
Ayudin desinfectante 332 cc,Hogar,170,,Unidad,0,0,2300.0,,0,0,1,0,1,,0,,,,,
Lysoform desinfectante 285 cm3,Hogar,171,,Unidad,0,0,2800.0,,0,0,0,0,1,,0,,,,,
Pasta dental Oral-B Extra Blanco 150gr,Hogar,172,,Unidad,0,0,4500.0,,0,0,0,0,0,,0,,,,,
Boya dosificadora para pileta,Pileta,173,,Unidad,0,0,3200.0,,0,0,1,0,0,,0,,,,,
Saca hojas para pileta,Pileta,174,,Unidad,3950,64.557,6500.0,,0,0,1,0,1,,1,,,,,
Pastillas cloro triple accion 200 gr,Pileta,175,2509041922152,Unidad,0,0,2500.0,,0,0,0,0,1,,-12,,,,,
Cloro granulado 1kg,Pileta,176,2509041922114,kilos,0,0,9500.0,,0,0,0,0,1,,-1,,,,,
Destapa cañerias x 500ml,Hogar,177,,Unidad,0,0,2500.0,,0,0,0,0,1,,0,,,,,
Pack 30 bolsas - 45x60 cm,Hogar,178,,Unidad,0,0,1000.0,,0,0,0,0,0,,0,,,,,
Espiral X5,Hogar,179,7792389081277,Unidad,0,0,1000.0,,0,0,1,0,1,,37,,,,,
CIF ultra brillo Lavanda,Hogar,180,,Unidad,0,0,3500.0,,0,0,1,0,1,,0,,,,,
Insecticida X5 Mata Mosca y mosquitos,Venenos,181,7792389000551,Unidad,0,0,3600.0,,0,0,1,0,1,,9,,,,,
Insecticida X5 Max Cucarachas,Venenos,182,,Unidad,0,0,4200.0,,0,0,1,0,1,,0,,,,,
Jabon Pan ALA 200 gr,Hogar,183,7791290793453,Unidad,0,0,1400.0,,0,0,0,0,1,,13,,,,,
Jabon Pan ARGENTINO 2x200gr,Hogar,184,,Unidad,0,0,1200.0,,0,0,0,0,0,,0,,,,,
Jabon tocador ST TROPEZ 125gr,Hogar,185,,Unidad,0,0,600.0,,0,0,1,0,0,,0,,,,,
Jabon tocador LUX 125gr,Hogar,186,,Unidad,0,0,900.0,,0,0,1,0,0,,0,,,,,
Jabon tocador REXONA 125gr,Hogar,187,,Unidad,0,0,850.0,,0,0,1,0,0,,0,,,,,
Pastillas inodoro JARDIN 25gr,Baño,188,,Unidad,0,0,1050.0,,0,0,0,0,0,,0,,,,,
Trapo de piso MEDIA NARANJA compacto G,Hogar,189,7798136921742,Unidad,0,0,2000.0,,0,0,1,0,0,,0,,,,,
Trapo de piso MEDIA NARANJA,Hogar,190,,Unidad,0,0,1850.0,,0,0,0,0,0,,0,,,,,
Trapo de piso LA PONDEROSA compacto,Hogar,191,7798136921803,Unidad,0,0,1400.0,,0,0,1,0,0,,0,,,,,
Trapo de pido LA PONDEROSA,Hogar,192,,Unidad,0,0,1400.0,,0,0,0,0,0,,0,,,,,
SUIZA Autobrillo 400 ml,Hogar,193,7790613071087|7790613071100,Unidad,0,0,2600.0,,0,0,1,0,1,,2,,,,,
Sulfato de Aluminio,Pileta,194,2509041922190,Kilo,0,0,4000.0,,0,0,0,0,1,,18.5,,,,,
Cera Roja,Hogar,195,2509041121401,Litro,0,0,1500.0,,0,0,0,0,1,,14,,,,,
Shampoo pelo,Hogar,196,2509041921322,Litro,0,0,1500.0,,0,0,0,0,1,,8,,,,,
Crema de enjuague,Hogar,197,2509041920097,Litro,0,0,1500.0,,0,0,0,0,1,,20,,,,,
Liquido lampazo,Hogar,198,2509041920509,Litro,0,0,2300.0,,0,0,0,0,1,,9,,,,,
Shampoo ciliconado Auto,Auto,199,2509041918124,Litro,0,0,1500.0,,0,0,0,0,1,,928,,,,,
Caucho premium Auto,Auto,200,2509041917561,Litro,0,0,3500.0,,0,0,0,0,1,,-0.5,,,,,
Insecticida Mata mosca y mosquitos EFECTO,Venenos,201,7796679000269,Unidad,0,0,3000.0,,0,0,1,0,1,,8,,,,,
